"effect","term","estimate","std.error","df","statistic","p.value","microbe","model_type","padj","pres"
"fixed","ResponseResponder",0.875063705163045,0.643275153472297,40,1.36032567158795,0.181344091823565,"f__Eubacteriales_unclassified","GMM",1,87
"fixed","ResponseResponder:Days",0.0186759532244754,0.0194653454918944,42,0.959446275035411,0.342824973165964,"f__Eubacteriales_unclassified","GMM",1,87
"fixed","ResponseResponder:I(Days^2)",-0.000194009718515986,0.000160365026908135,42,-1.20980067946563,0.233120884660241,"f__Eubacteriales_unclassified","GMM",1,87
"fixed","ResponseResponder",0.189713548032341,0.183683944519908,40,1.03282596923859,0.307889809995729,"f__Lactobacillaceae","ZIGMM",1,24
"fixed","ResponseResponder:Days",-0.0116937767332154,0.00841626567898512,42,-1.3894258070315,0.172025731927991,"f__Lactobacillaceae","ZIGMM",1,24
"fixed","ResponseResponder:I(Days^2)",7.06500774167011e-05,7.05495806103619e-05,42,1.00142448481578,0.322356531464705,"f__Lactobacillaceae","ZIGMM",1,24
"fixed","ResponseResponder",0.0345111264133678,0.0337768506367531,40,1.02173902429541,0.313044430695073,"f__Clostridia_unclassified","ZIGMM",1,27
"fixed","ResponseResponder:Days",0.000106473292278617,0.000762078047645796,42,0.139714419812424,0.889553483227375,"f__Clostridia_unclassified","ZIGMM",1,27
"fixed","ResponseResponder:I(Days^2)",8.92355292111184e-07,6.22652649476576e-06,42,0.143315103992785,0.886726723778445,"f__Clostridia_unclassified","ZIGMM",1,27
"fixed","ResponseResponder",0.0630440610738979,0.0460129154212748,40,1.3701383730349,0.178285360899599,"f__FGB79266","ZIGMM",1,10
"fixed","ResponseResponder:Days",-0.00229284995359378,0.00217443844485258,42,-1.05445613281052,0.297702505490374,"f__FGB79266","ZIGMM",1,10
"fixed","ResponseResponder:I(Days^2)",1.41605559805867e-05,1.82223798965318e-05,42,0.777096957751484,0.441456646764231,"f__FGB79266","ZIGMM",1,10
"fixed","ResponseResponder",0.224558900093705,0.146383445749142,40,1.53404573136318,0.132890825873392,"f__Eggerthellaceae","ZIGMM",1,74
"fixed","ResponseResponder:Days",-0.00150092581432094,0.00691457130063613,42,-0.217067081828032,0.829207090445298,"f__Eggerthellaceae","ZIGMM",1,74
"fixed","ResponseResponder:I(Days^2)",-8.75156635371532e-06,5.79503964913465e-05,42,-0.151018230824739,0.880684351503867,"f__Eggerthellaceae","ZIGMM",1,74
"fixed","ResponseResponder",0.00212671758897486,0.0057726451694059,40,0.368413011117698,0.714507981748225,"f__FGB28775","ZIGMM",1,7
"fixed","ResponseResponder:Days",0.000147767083862596,0.000279522700670187,42,0.528640727598539,0.599837349095295,"f__FGB28775","ZIGMM",1,7
"fixed","ResponseResponder:I(Days^2)",-1.39983194748943e-06,2.33241069325789e-06,42,-0.600165293160337,0.551620804418915,"f__FGB28775","ZIGMM",1,7
"fixed","ResponseResponder",-1.33182082535906,1.1752410797743,40,-1.13323202216079,0.263863687103101,"f__Enterobacteriaceae","ZIGMM",1,41
"fixed","ResponseResponder:Days",0.0203094364703334,0.0181118399585399,42,1.12133480181054,0.268515854782801,"f__Enterobacteriaceae","ZIGMM",1,41
"fixed","ResponseResponder:I(Days^2)",-0.000180299856623125,0.000149190903239446,42,-1.20851776286756,0.233608458625112,"f__Enterobacteriaceae","ZIGMM",1,41
"fixed","ResponseResponder",0.439014499590418,2.39896149427634,40,0.183001895044109,0.855720966741738,"g__Phocaeicola","GMM",1,81
"fixed","ResponseResponder:Days",-0.050751523437152,0.0725328749047788,42,-0.699703734393248,0.487969885352012,"g__Phocaeicola","GMM",1,81
"fixed","ResponseResponder:I(Days^2)",0.000700757783033507,0.000597545642494421,42,1.17272678971975,0.247514011331689,"g__Phocaeicola","GMM",1,81
"fixed","ResponseResponder",-4.1145609098645,3.86014737817472,40,-1.06590772495585,0.292857129706378,"g__Bacteroides","GMM",1,87
"fixed","ResponseResponder:Days",0.0486634082608121,0.116614172878385,42,0.417302691942622,0.678582513577572,"g__Bacteroides","GMM",1,87
"fixed","ResponseResponder:I(Days^2)",0.000147863750526917,0.000960673609748891,42,0.15391674032304,0.878412587779848,"g__Bacteroides","GMM",1,87
"fixed","ResponseResponder",0.286137683921284,1.19472600837075,40,0.239500673724757,0.811940400208265,"g__Bifidobacterium","ZIGMM",1,53
"fixed","ResponseResponder:Days",-0.0428634466612286,0.052769123657272,42,-0.812282707964237,0.42120972256363,"g__Bifidobacterium","ZIGMM",1,53
"fixed","ResponseResponder:I(Days^2)",0.000208198331659878,0.000449737283670891,42,0.462933226172624,0.645802013303517,"g__Bifidobacterium","ZIGMM",1,53
"fixed","ResponseResponder",0.338203603797655,1.50626597225209,40,0.224531131970001,0.82348707900431,"g__Blautia","GMM",1,87
"fixed","ResponseResponder:Days",0.0723103326539721,0.0705182619936657,42,1.02541285916076,0.31103826683379,"g__Blautia","GMM",1,87
"fixed","ResponseResponder:I(Days^2)",-0.0006699365837205,0.000591253753729205,42,-1.13307793734081,0.263608433257853,"g__Blautia","GMM",1,87
"fixed","ResponseResponder",-0.875693586783486,0.827708806048983,40,-1.05797302189348,0.296415304508607,"g__GGB1495","ZIGMM",1,4
"fixed","ResponseResponder:Days",-0.069493830592961,0.0322609371920819,42,-2.15411691790583,0.0370152767905768,"g__GGB1495","ZIGMM",1,4
"fixed","ResponseResponder:I(Days^2)",0.000605819217219922,0.000300401182681739,42,2.01670050634175,0.0501499705346868,"g__GGB1495","ZIGMM",1,4
"fixed","ResponseResponder",0.605273247625213,1.9464901912517,40,0.310956227956119,0.757448641678744,"g__Alistipes","GMM",1,82
"fixed","ResponseResponder:Days",0.0330405146343816,0.0727690436678465,42,0.454046294536928,0.652133249477029,"g__Alistipes","GMM",1,82
"fixed","ResponseResponder:I(Days^2)",-0.000134331649072696,0.000604572825395779,42,-0.222192667996211,0.825240836992994,"g__Alistipes","GMM",1,82
"fixed","ResponseResponder",-0.203262942126969,0.20653790814828,40,-0.984143511229137,0.330960594169066,"g__Megasphaera","ZIGMM",1,14
"fixed","ResponseResponder:Days",-0.00884328595831926,0.00716859018571656,42,-1.23361577788887,0.224205324738875,"g__Megasphaera","ZIGMM",1,14
"fixed","ResponseResponder:I(Days^2)",6.48706442434815e-05,5.95030084992088e-05,42,1.09020780427168,0.281837097677539,"g__Megasphaera","ZIGMM",1,14
"fixed","ResponseResponder",-0.437471641048512,0.26684053132322,40,-1.63944974505619,0.10896218498601,"g__Acidaminococcus","ZIGMM",1,15
"fixed","ResponseResponder:Days",-0.0026809172526971,0.00981398984782655,42,-0.273173020786324,0.786059015264689,"g__Acidaminococcus","ZIGMM",1,15
"fixed","ResponseResponder:I(Days^2)",3.3069794398541e-05,8.19755594552569e-05,42,0.403410414253908,0.688692812977996,"g__Acidaminococcus","ZIGMM",1,15
"fixed","ResponseResponder",0.194834776043956,0.650616930526465,40,0.29946158315662,0.766138445356145,"g__Lachnospiraceae_unclassified","ZIGMM",1,73
"fixed","ResponseResponder:Days",0.0146575343369013,0.0216066332338981,42,0.678381225720325,0.501250854118987,"g__Lachnospiraceae_unclassified","ZIGMM",1,73
"fixed","ResponseResponder:I(Days^2)",-8.8370555234336e-05,0.000178830776373221,42,-0.494157420923488,0.623769743357706,"g__Lachnospiraceae_unclassified","ZIGMM",1,73
"fixed","ResponseResponder",0.360594851935232,0.799038817345095,40,0.451285774993201,0.654220860294936,"g__Parabacteroides","GMM",1,81
"fixed","ResponseResponder:Days",0.0194976237698925,0.0318152022030186,42,0.612839850756711,0.54328660593149,"g__Parabacteroides","GMM",1,81
"fixed","ResponseResponder:I(Days^2)",-3.38662239253185e-05,0.00026515394931768,42,-0.127722871986129,0.898977878908683,"g__Parabacteroides","GMM",1,81
"fixed","ResponseResponder",-0.207134469540019,0.370957607972574,40,-0.558377736669395,0.57969887819466,"g__Clostridium","GMM",1,85
"fixed","ResponseResponder:Days",0.00687385699255925,0.0131414731383087,42,0.52306593942815,0.603677153295287,"g__Clostridium","GMM",1,85
