Taxonomy,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold,level
o__Coriobacteriales,13.47666708,-0.819549434,0.571481466,-1.434078763,0.151549787,0.60619915,FALSE,order
o__Desulfovibrionales,1.567575851,0.338523513,0.74373018,0.455169794,0.64898709,0.952248459,FALSE,order
o__Eggerthellales,2.707972431,-0.488115928,0.571319258,-0.854366313,0.392902055,0.89806184,FALSE,order
o__Enterobacterales,12.74050523,-1.866681743,1.072553304,-1.740409299,0.081787174,0.373884224,FALSE,order
o__Erysipelotrichales,2.336251237,0.520729753,0.715265274,0.728023255,0.466599351,0.950153088,FALSE,order
o__Firmicutes_unclassified,11.2885942,0.764189178,0.598205185,1.277470001,0.201436365,0.644596367,FALSE,order
o__Fusobacteriales,0.076114131,0.777966374,3.453136815,0.225292659,0.82175161,0.952248459,FALSE,order
o__Herpesvirales,0.008153345,-0.465996037,3.455741788,-0.134846891,0.892732931,0.952248459,FALSE,order
o__Lactobacillales,28.73575133,-2.688083432,0.685103959,-3.923613923,8.72E-05,0.002118941,TRUE,order
o__Methanobacteriales,1.029452355,0.742761419,1.039927261,0.714243627,0.475076544,0.950153088,FALSE,order
o__Methanomassiliicoccales,0.03903403,0.501507853,3.454848484,0.145160593,0.884584079,0.952248459,FALSE,order
o__Micrococcales,0,NA,NA,NA,NA,NA,NA,order
o__Ortervirales,0.221311342,-0.673448942,2.007923711,-0.335395682,0.737326625,0.952248459,FALSE,order
o__Pasteurellales,0.080898897,-0.535170959,3.455729781,-0.154864817,0.876927891,0.952248459,FALSE,order
o__Propionibacteriales,0.086081715,-0.869601768,3.455702852,-0.251642518,0.801317391,0.952248459,FALSE,order
o__Proteobacteria_unclassified,5.904697069,-2.967530824,1.232648249,-2.407443345,0.016064655,0.128517236,FALSE,order
o__Pseudomonadales,0,NA,NA,NA,NA,NA,NA,order
o__Rhodospirillales,0.055847553,-0.017023035,3.455652647,-0.004926142,0.996069523,0.999999961,FALSE,order
o__Selenomonadales,0.032240655,-0.506061048,3.455739256,-0.14644075,0.88357346,0.952248459,FALSE,order
o__Synergistales,0.918670548,-2.618483605,2.680683844,-0.976796876,0.328669723,0.876452595,FALSE,order
o__Veillonellales,4.563081682,-2.186417879,0.961313608,-2.27440646,0.022941559,0.14682598,FALSE,order
