"effect","group","term","estimate","std.error","statistic","p.value"
"fixed",NA,"(Intercept)",9.38888983535936,0.00178797991583313,5251.11593940054,0
"fixed",NA,"o__Bacteroidales",0.0153024145845569,0.00180781171852224,8.46460636789409,2.57019260328888e-17
"fixed",NA,"Days",0.227862300114572,0.00202557768772731,112.492501025835,0
"fixed",NA,"Days2",-0.00280535775100032,0.000561764787758315,-4.99382982367925,5.91935605671155e-07
"fixed",NA,"o__Bacteroidales:Days",-0.00450873343898391,0.00135547926396141,-3.32630203859192,0.000880065081239082
"fixed",NA,"o__Bacteroidales:Days2",5.82616237394907e-05,1.38133972922247e-05,4.21776211216953,2.46738925096994e-05
"ran_pars","Patient_Id","sd__(Intercept)",34.5902104185104,NA,NA,NA
"fixed",NA,"(Intercept)",11.372440302238,19.1323982044627,0.59440746427624,0.552239617264987
"fixed",NA,"o__Eubacteriales",-0.012294200300976,0.105689112659812,-0.116324188855177,0.907395615808071
"fixed",NA,"Days",-0.0599373908856947,0.208011485479179,-0.28814462214729,0.773236036847293
"fixed",NA,"Days2",0.000574745833264931,0.00122460702033602,0.469330833255576,0.638833179334241
"fixed",NA,"o__Eubacteriales:Days",0.00252442389191165,0.00398389444618644,0.633657323508694,0.526304481899447
"fixed",NA,"o__Eubacteriales:Days2",-2.19063948377521e-05,0.000195659184138144,-0.111962006456519,0.910853531560016
"ran_pars","Patient_Id","sd__(Intercept)",45.9274784908495,NA,NA,NA
"fixed",NA,"(Intercept)",10.9490858434411,12.8599723127232,0.851408197248487,0.394542639775502
"fixed",NA,"o__Bifidobacteriales",-0.0148872811520722,4.01882702168375,-0.00370438465545974,0.99704433543597
"fixed",NA,"Days",0.042669860140886,0.382042032629876,0.111688915083919,0.911070068815805
"fixed",NA,"Days2",-0.000391828959239592,0.00336717319116708,-0.116367331584682,0.907361425083731
"fixed",NA,"o__Bifidobacteriales:Days",-0.0129209376374848,0.284747114254315,-0.0453768870364908,0.963806903479849
"fixed",NA,"o__Bifidobacteriales:Days2",0.000201545917848965,0.00408201314944938,0.0493741471352563,0.96062113062429
"ran_pars","Patient_Id","sd__(Intercept)",45.7689048680243,NA,NA,NA
"fixed",NA,"(Intercept)",11.0005534930378,13.4817653143662,0.815957942934643,0.414524190287753
"fixed",NA,"o__Acidaminococcales",-0.0760722858741916,7.8452156723552,-0.00969664685475168,0.992263316423454
"fixed",NA,"Days",0.0553674231894989,0.477119067290256,0.116045295577794,0.907616643586374
"fixed",NA,"Days2",-0.000514284010129939,0.00461546887075879,-0.111426168073232,0.911278410143786
"fixed",NA,"o__Acidaminococcales:Days",-0.0302681447567944,0.491054070756476,-0.0616391280702874,0.950850216474918
"fixed",NA,"o__Acidaminococcales:Days2",0.000379250057008242,0.00745590148056245,0.0508657548650486,0.959432493827381
"ran_pars","Patient_Id","sd__(Intercept)",45.7487964825874,NA,NA,NA
"fixed",NA,"(Intercept)",15.2216140157982,14.7833693435302,1.02964443775193,0.303176946847771
"fixed",NA,"o__Veillonellales",-17.5707541569779,18.9211588407259,-0.928629916639072,0.353080912254859
"fixed",NA,"Days",0.15690308354353,0.757197716784978,0.207215473667475,0.835841583330208
"fixed",NA,"Days2",-0.00145072440395186,0.0075248354885744,-0.192791511011054,0.847122252002841
"fixed",NA,"o__Veillonellales:Days",-0.0256901417947582,1.16159303966454,-0.0221163014218624,0.982355183002367
"fixed",NA,"o__Veillonellales:Days2",0.0016583353087121,0.0113949194655852,0.14553286784699,0.88429016719258
"ran_pars","Patient_Id","sd__(Intercept)",39.250898026875,NA,NA,NA
"fixed",NA,"(Intercept)",10.7803214961113,15.3296286102717,0.703234355520386,0.481909712324943
"fixed",NA,"o__Burkholderiales",0.132356085790457,10.7322967315454,0.0123325033868495,0.990160335372364
"fixed",NA,"Days",0.0330600960333854,0.564646898163252,0.0585500356788057,0.953310508113352
"fixed",NA,"Days2",-0.00034593173414922,0.00508585281336584,-0.0680184320789027,0.945770961586519
"fixed",NA,"o__Burkholderiales:Days",0.00069261484423392,0.490690641012442,0.00141151019877788,0.998873778178953
"fixed",NA,"o__Burkholderiales:Days2",0.000101225356622495,0.00480737030086945,0.02105628447307,0.983200757092216
"ran_pars","Patient_Id","sd__(Intercept)",45.7464996259781,NA,NA,NA
"fixed",NA,"(Intercept)",10.4350995919267,14.2033972254015,0.734690400213862,0.462528068094856
"fixed",NA,"o__Coriobacteriales",1.30101514408607,34.6107665217317,0.0375898968683396,0.970014663361328
"fixed",NA,"Days",0.0560806296456057,0.598490863373903,0.0937034014679179,0.925344768188213
