"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","level"
"s__Lactococcus_phage_bIL311",1.1029574218091,-0.121583921460195,0.464293628328455,-0.261868597891209,0.79342275025294,NA,NA,"species"
"s__Lactococcus_phage_bIL312",1.31697606072325,-0.162252838429527,0.43278367616705,-0.374905171716549,0.707730992668902,0.795285342277426,FALSE,"species"
"s__Lactococcus_phage_BK5_T",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Lactococcus_phage_jm3",1.0674338788138,0.0831616169016916,0.452461547669927,0.183798197504197,0.854171770232846,NA,NA,"species"
"s__Lactococcus_phage_P335_sensu_lato",1.13852874823486,-0.178167362050774,0.462812814250863,-0.384966354786798,0.700262343075561,NA,NA,"species"
"s__Lactococcus_phage_phiLC3",1.04935189097122,-0.0323160818022302,0.466906249194918,-0.0692132132691573,0.944819905662974,NA,NA,"species"
"s__Lactococcus_phage_TP901_1",1.04935189097122,-0.0323160818022302,0.466906249194918,-0.0692132132691573,0.944819905662974,NA,NA,"species"
"s__Lactococcus_phage_Tuc2009",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Lactococcus_phage_ul36",1.13850508800148,0.100807249908611,0.437056692587265,0.230650283174609,0.817586500334111,NA,NA,"species"
"s__Lactococcus_virus_bIL67",1.22776413698519,0.541401127121456,0.391093234514818,1.38432751922468,0.166258191336249,0.402714285681136,FALSE,"species"
"s__Lactococcus_virus_c2",1.19161044639257,-0.259084365038818,0.461030064295273,-0.561968481241787,0.57413749387137,0.729798513063509,FALSE,"species"
"s__Lactonifactor_longoviformis",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Lawsonibacter_asaccharolyticus",3.30738747076382,-0.0728084392015518,0.492292451010905,-0.147896720845591,0.882424276134028,0.916040439034372,FALSE,"species"
