M-Group	M-Group-Type [k|u]	M-Group  Label (kVSG only)	species	hits	genomes of the species bin(s)
M183	uVSG	-	GGB9742_SGB15348 	1	12
M183	uVSG	-	GGB9739_SGB15313 	1	57
M183	uVSG	-	Clostridia_bacterium 	1	13613
M183	uVSG	-	Faecalibacterium_SGB15325 	1	3
M184	uVSG	-	Faecalibacterium_prausnitzii 	638	9456
M184	uVSG	-	Faecalibacterium_SGB15346 	57	700
M184	uVSG	-	Faecalibacterium_SGB15329 	7	42
M184	uVSG	-	Faecalibacterium_SGB15340 	6	134
M184	uVSG	-	Subdoligranulum_sp_APC924_74 	4	4694
M184	uVSG	-	Ruminococcus_bicirculans 	2	3401
M184	uVSG	-	GGB9739_SGB15313 	2	57
M184	uVSG	-	GGB9712_SGB15244 	2	603
M184	uVSG	-	Rhodobacteraceae_unclassified_SGB53604 	1	29
M184	uVSG	-	GGB37726_SGB63289 	1	1
M184	uVSG	-	Gemmiger_SGB15299 	1	326
M184	uVSG	-	GGB38320_SGB69189 	1	1
M184	uVSG	-	Faecalibacterium_SGB15321 	1	25
M184	uVSG	-	GGB61860_SGB83989 	1	1
M184	uVSG	-	GGB3746_SGB5089 	1	1052
M184	uVSG	-	GGB9631_SGB15087 	1	206
M184	uVSG	-	GGB38320_SGB69188 	1	2
M184	uVSG	-	Clostridia_bacterium 	1	13613
M184	uVSG	-	Desulfovibrio_piger 	1	698
M184	uVSG	-	Holdemanella_SGB53800 	1	1
M184	uVSG	-	Faecalibacterium_SGB15325 	1	3
M184	uVSG	-	GGB9059_SGB13976 	1	658
M184	uVSG	-	GGB9602_SGB15031 	1	1008
M185	uVSG	-	Limosilactobacillus_fermentum 	2	182
M185	uVSG	-	GGB32462_SGB48618 	1	15
M185	uVSG	-	Lactobacillus_gasseri 	1	169
M185	uVSG	-	Lactobacillus_mucosae 	1	146
M185	uVSG	-	Ligilactobacillus_salivarius 	1	266
M185	uVSG	-	Companilactobacillus_heilongjiangensis 	1	1
M186	uVSG	-	Faecalibacterium_prausnitzii 	811	9456
M186	uVSG	-	Faecalibacterium_SGB15346 	158	700
M186	uVSG	-	Faecalibacterium_SGB15340 	30	134
M186	uVSG	-	GGB3005_SGB3996 	6	125
M186	uVSG	-	GGB9712_SGB15244 	5	603
M186	uVSG	-	Subdoligranulum_sp_APC924_74 	4	4694
M186	uVSG	-	Faecalibacterium_SGB15329 	4	42
M186	uVSG	-	Faecalibacterium_SGB15345 	3	7
M186	uVSG	-	Faecalicatena_fissicatena 	3	812
M186	uVSG	-	GGB9602_SGB15031 	2	1008
M186	uVSG	-	GGB9739_SGB15313 	2	57
M186	uVSG	-	Ruminococcus_bicirculans 	1	3401
M186	uVSG	-	Faecalibacterium_SGB72809 	1	1
M186	uVSG	-	Ruminococcus_SGB4421 	1	441
M186	uVSG	-	Desulfovibrio_piger 	1	698
M186	uVSG	-	Prochlorococcus_SGB53618 	1	8
M186	uVSG	-	GGB9742_SGB15348 	1	12
M186	uVSG	-	Ruminococcaceae_bacterium 	1	5899
M186	uVSG	-	Faecalibacterium_SGB15315 	1	306
M186	uVSG	-	GGB38320_SGB72795 	1	2
M186	uVSG	-	Clostridia_bacterium 	1	13613
M186	uVSG	-	Holdemanella_SGB53800 	1	1
M186	uVSG	-	Faecalibacterium_SGB15337 	1	2
M186	uVSG	-	Clostridiales_bacterium 	1	182
M186	uVSG	-	Faecalibacterium_SGB15341 	1	2
M186	uVSG	-	Faecalibacterium_SGB15325 	1	3
M186	uVSG	-	Negativibacillus_massiliensis 	1	103
M186	uVSG	-	GGB9568_SGB14980 	1	108
M187	uVSG	-	Faecalibacillus_intestinalis 	316	1381
M187	uVSG	-	Faecalibacillus_faecis 	58	257
M187	uVSG	-	Catenibacterium_sp_AM22_15 	18	701
M187	uVSG	-	Catenibacterium_mitsuokai 	13	282
M187	uVSG	-	Coprobacillus_SGB65194 	9	12
M187	uVSG	-	GGB1420_SGB1957 	8	375
M187	uVSG	-	Catenibacterium_SGB6774 	4	29
M187	uVSG	-	Acholeplasmatales_unclassified_SGB6584 	3	323
M187	uVSG	-	Romboutsia_timonensis 	2	397
M187	uVSG	-	Eubacterium_ventriosum 	2	601
M187	uVSG	-	GGB1387_SGB1895 	2	122
M187	uVSG	-	Clostridia_bacterium 	2	13613
M187	uVSG	-	Prevotellamassilia_timonensis 	1	345
M187	uVSG	-	Clostridium_SGB6179 	1	218
M187	uVSG	-	Prevotella_amnii 	1	11
M187	uVSG	-	Bacilli_unclassified_SGB6473 	1	459
M187	uVSG	-	Megamonas_funiformis 	1	671
M187	uVSG	-	Firmicutes_bacterium_AM41_11 	1	81
M187	uVSG	-	GGB4566_SGB6305 	1	131
M187	uVSG	-	Catenibacterium_SGB6775 	1	6
M187	uVSG	-	Clostridium_sp_OM07_10AC 	1	124
M187	uVSG	-	Bacilli_bacterium 	1	1335
M187	uVSG	-	GGB32852_SGB47223 	1	14
M187	uVSG	-	GGB4569_SGB6312 	1	222
M187	uVSG	-	GGB4596_SGB6358 	1	171
M187	uVSG	-	Coprococcus_sp_OM04_5BH 	1	186
M187	uVSG	-	Coprobacillus_SGB6753 	1	13
M187	uVSG	-	Clostridia_unclassified_SGB6376 	1	33
M187	uVSG	-	Bacilli_unclassified_SGB6571 	1	311
M187	uVSG	-	Bacilli_unclassified_SGB6422 	1	134
M187	uVSG	-	Erysipelotrichaceae_bacterium 	1	442
M187	uVSG	-	Coprobacillus_SGB74381 	1	1
M187	uVSG	-	GGB36307_SGB47231 	1	33
M187	uVSG	-	Bacilli_unclassified_SGB6478 	1	690
M187	uVSG	-	Clostridium_sp_AM49_4BH 	1	665
M187	uVSG	-	Streptococcus_agalactiae 	1	1107
M187	uVSG	-	Gallibacterium_salpingitidis 	1	3
M187	uVSG	-	Enterococcus_faecalis 	1	2596
M188	uVSG	-	Alistipes_shahii 	11	1611
M188	uVSG	-	GGB1681_SGB2313 	3	504
M188	uVSG	-	Alistipes_ihumii 	2	498
M188	uVSG	-	GGB1680_SGB2312 	2	129
M189	uVSG	-	Prevotella_melaninogenica 	1	62
M190	uVSG	-	Klebsiella_pneumoniae 	93	7034
M190	uVSG	-	Escherichia_coli 	13	18595
M190	uVSG	-	Klebsiella_quasipneumoniae 	6	516
M190	uVSG	-	Providencia_stuartii 	3	36
M190	uVSG	-	Pluralibacter_gergoviae 	1	26
M190	uVSG	-	Cronobacter_sakazakii 	1	495
M190	uVSG	-	Klebsiella_variicola 	1	274
M190	uVSG	-	Pectobacterium_versatile 	1	61
M190	uVSG	-	Pectobacterium_aquaticum 	1	11
M190	uVSG	-	Biostraticola_tofi 	1	1
M190	uVSG	-	Escherichia_albertii 	1	164
M190	uVSG	-	Serratia_marcescens 	1	666
M191	uVSG	-	Klebsiella_pneumoniae 	3	7034
M191	uVSG	-	Escherichia_coli 	1	18595
M191	uVSG	-	Dickeya_zeae 	1	13
M191	uVSG	-	Raoultella_ornithinolytica 	1	138
M191	uVSG	-	Escherichia_albertii 	1	164
M192	uVSG	-	Streptococcus_mitis 	1	169
M192	uVSG	-	Streptococcus_gallolyticus 	1	168
M193	uVSG	-	Alistipes_shahii 	56	1611
M193	uVSG	-	Alistipes_finegoldii 	1	840
M193	uVSG	-	Bacteroides_faecis 	1	185
M193	uVSG	-	Alistipes_putredinis 	1	5632
M194	uVSG	-	Haemophilus_parainfluenzae 	9	443
M194	uVSG	-	Lachnospira_eligens 	2	3354
M194	uVSG	-	Enterococcus_faecalis 	1	2596
M194	uVSG	-	Stappia_SGB58133 	1	10
M194	uVSG	-	Haemophilus_haemolyticus 	1	94
M194	uVSG	-	Coprococcus_eutactus 	1	3568
M194	uVSG	-	Bacilli_bacterium 	1	1335
M195	uVSG	-	Alistipes_shahii 	12	1611
M195	uVSG	-	Alistipes_putredinis 	2	5632
M195	uVSG	-	GGB57107_SGB78580 	1	1
M195	uVSG	-	Barnesiella_intestinihominis 	1	3045
M195	uVSG	-	Alistipes_finegoldii 	1	840
M195	uVSG	-	Bacteroides_uniformis 	1	6758
M195	uVSG	-	Bacteroides_salyersiae 	1	75
M195	uVSG	-	Alistipes_communis 	1	907
M195	uVSG	-	Pedobacter_steynii 	1	2
M196	uVSG	-	Phocaeicola_dorei 	618	1473
M196	uVSG	-	Phocaeicola_vulgatus 	504	4172
M196	uVSG	-	GGB9176_SGB14114 	16	485
M196	uVSG	-	Bacteroides_uniformis 	15	6758
M196	uVSG	-	Phocaeicola_massiliensis 	14	619
M196	uVSG	-	Bacteroides_caccae 	10	742
M196	uVSG	-	Butyricimonas_virosa 	9	173
M196	uVSG	-	Bacteroides_faecis 	7	185
M196	uVSG	-	Eubacterium_sp_AM28_29 	5	1257
M196	uVSG	-	Bacteroides_stercoris 	3	2047
M196	uVSG	-	Phocaeicola_coprocola 	3	557
M196	uVSG	-	Bacteroides_ovatus 	3	1006
M196	uVSG	-	Bacteroides_cellulosilyticus 	2	522
M196	uVSG	-	Coprobacillus_cateniformis 	2	91
M196	uVSG	-	Bacteroides_xylanisolvens 	2	364
M196	uVSG	-	Bacteroides_eggerthii 	2	533
M196	uVSG	-	Eubacteriaceae_bacterium 	2	307
M196	uVSG	-	Phocaeicola_sartorii 	2	14
M196	uVSG	-	Rikenellaceae_unclassified_SGB2230 	2	769
M196	uVSG	-	GGB1239_SGB1657 	2	280
M196	uVSG	-	Lachnospiraceae_bacterium 	2	3222
M196	uVSG	-	Prevotella_marseillensis 	1	228
M196	uVSG	-	Clostridium_sp_AF15_49 	1	1762
M196	uVSG	-	Coprobacter_secundus 	1	15
M196	uVSG	-	Roseburia_sp_AF02_12 	1	1130
M196	uVSG	-	Eubacterium_ventriosum 	1	601
M196	uVSG	-	Ruminococcus_sp_JE7A12 	1	437
M196	uVSG	-	Tyzzerella_SGB4587 	1	112
M196	uVSG	-	Ligilactobacillus_salivarius 	1	266
M196	uVSG	-	Blautia_wexlerae 	1	2518
M196	uVSG	-	Lachnospira_sp_NSJ_43 	1	755
M196	uVSG	-	Bacteroides_thetaiotaomicron 	1	711
M196	uVSG	-	GGB37887_SGB48584 	1	1
M196	uVSG	-	GGB4579_SGB6329 	1	87
M196	uVSG	-	Clostridium_sp_AM49_4BH 	1	665
M196	uVSG	-	GGB4768_SGB6601 	1	185
M196	uVSG	-	GGB1266_SGB1699 	1	952
M196	uVSG	-	Phocaeicola_plebeius 	1	1036
M196	uVSG	-	Prochlorococcus_SGB47086 	1	1
M196	uVSG	-	Prochlorococcus_SGB47053 	1	1
M196	uVSG	-	Bacteroides_salyersiae 	1	75
M196	uVSG	-	Coprococcus_eutactus 	1	3568
M196	uVSG	-	Bacteroides_fragilis 	1	1207
M196	uVSG	-	Clostridium_sp_AF34_13 	1	375
M196	uVSG	-	Faecalibacillus_intestinalis 	1	1381
M196	uVSG	-	Candidatus_Gastranaerophilales_bacterium 	1	1110
M196	uVSG	-	Eubacterium_rectale 	1	8042
M197	uVSG	-	Alistipes_ihumii 	46	498
M197	uVSG	-	Alistipes_shahii 	28	1611
M197	uVSG	-	Odoribacter_splanchnicus 	1	1981
M197	uVSG	-	GGB1680_SGB2312 	1	129
M197	uVSG	-	Alistipes_putredinis 	1	5632
M197	uVSG	-	Oscillibacter_sp_ER4 	1	2741
M197	uVSG	-	Parabacteroides_merdae 	1	2296
M197	uVSG	-	Polaribacter_porphyrae 	1	1
M198	uVSG	-	Flavonifractor_plautii 	10	696
M198	uVSG	-	Clostridia_bacterium 	5	13613
M198	uVSG	-	Ruminococcaceae_bacterium 	1	5899
M198	uVSG	-	GGB9633_SGB15090 	1	688
M198	uVSG	-	GGB9694_SGB15204 	1	31
M198	uVSG	-	bacterium_D16_29 	1	1
M198	uVSG	-	Pseudoflavonifractor_sp_An176 	1	5
M199	uVSG	-	Phocaeicola_vulgatus 	648	4172
M199	uVSG	-	Phocaeicola_dorei 	602	1473
M199	uVSG	-	Phocaeicola_massiliensis 	18	619
M199	uVSG	-	Bacteroides_uniformis 	16	6758
M199	uVSG	-	Phocaeicola_plebeius 	16	1036
M199	uVSG	-	Butyricimonas_virosa 	10	173
M199	uVSG	-	Eubacterium_sp_AM28_29 	6	1257
M199	uVSG	-	Bacteroides_caccae 	6	742
M199	uVSG	-	Bacteroides_ovatus 	5	1006
M199	uVSG	-	Eubacterium_ventriosum 	3	601
M199	uVSG	-	Bacteroides_stercoris 	3	2047
M199	uVSG	-	Phocaeicola_coprocola 	3	557
M199	uVSG	-	Eubacteriaceae_bacterium 	3	307
M199	uVSG	-	Clostridia_bacterium 	3	13613
M199	uVSG	-	GGB1239_SGB1657 	3	280
M199	uVSG	-	Bacteroides_thetaiotaomicron 	2	711
M199	uVSG	-	Bacteroides_cellulosilyticus 	2	522
M199	uVSG	-	Bacteroides_faecis 	2	185
M199	uVSG	-	Bacteroides_xylanisolvens 	2	364
M199	uVSG	-	Bacteroides_eggerthii 	2	533
M199	uVSG	-	GGB1495_SGB2071 	2	953
M199	uVSG	-	Prevotella_copri 	2	3266
M199	uVSG	-	Phocaeicola_sartorii 	2	14
M199	uVSG	-	Rikenellaceae_unclassified_SGB2230 	2	769
M199	uVSG	-	Lachnospiraceae_bacterium 	2	3222
M199	uVSG	-	Holdemanella_sp_L34 	1	97
M199	uVSG	-	Phascolarctobacterium_faecium 	1	2296
M199	uVSG	-	Prevotella_marseillensis 	1	228
M199	uVSG	-	Clostridium_sp_AF15_49 	1	1762
M199	uVSG	-	Coprobacter_secundus 	1	15
M199	uVSG	-	Roseburia_sp_AF02_12 	1	1130
M199	uVSG	-	Anaerostipes_hadrus 	1	3947
M199	uVSG	-	Coprobacillus_cateniformis 	1	91
M199	uVSG	-	Ligilactobacillus_salivarius 	1	266
M199	uVSG	-	Tyzzerella_SGB4587 	1	112
M199	uVSG	-	Bacteroidaceae_bacterium 	1	1518
M199	uVSG	-	GGB36382_SGB48493 	1	1
M199	uVSG	-	Faecalibacillus_intestinalis 	1	1381
M199	uVSG	-	Blautia_wexlerae 	1	2518
M199	uVSG	-	Lachnospira_sp_NSJ_43 	1	755
M199	uVSG	-	GGB9176_SGB14114 	1	485
M199	uVSG	-	GGB37887_SGB48584 	1	1
M199	uVSG	-	Holdemanella_biformis 	1	544
M199	uVSG	-	GGB4579_SGB6329 	1	87
M199	uVSG	-	Parabacteroides_distasonis 	1	4705
M199	uVSG	-	Faecalibacterium_prausnitzii 	1	9456
M199	uVSG	-	Faecalibacterium_SGB15340 	1	134
M199	uVSG	-	Clostridium_sp_AM49_4BH 	1	665
M199	uVSG	-	Bacteroidales_bacterium 	1	1048
M199	uVSG	-	GGB1420_SGB1957 	1	375
M199	uVSG	-	GGB38038_SGB48534 	1	2
M199	uVSG	-	Bacteroides_fluxus 	1	18
M199	uVSG	-	Lachnospira_pectinoschiza 	1	2032
M199	uVSG	-	Prochlorococcus_SGB47086 	1	1
M199	uVSG	-	Prochlorococcus_SGB47053 	1	1
M199	uVSG	-	GGB781_SGB1024 	1	350
M199	uVSG	-	Bacteroides_salyersiae 	1	75
M199	uVSG	-	Coprococcus_eutactus 	1	3568
M199	uVSG	-	Clostridium_sp_AF34_13 	1	375
M199	uVSG	-	Candidatus_Gastranaerophilales_bacterium 	1	1110
M199	uVSG	-	Eubacterium_rectale 	1	8042
M199	uVSG	-	Clostridium_botulinum 	1	314
M200	uVSG	-	Haemophilus_parainfluenzae 	64	443
M200	uVSG	-	Pasteurella_multocida 	17	170
M200	uVSG	-	Haemophilus_SGB9675 	9	30
M200	uVSG	-	Haemophilus_SGB9710 	5	25
M200	uVSG	-	Haemophilus_haemolyticus 	5	94
M200	uVSG	-	Haemophilus_SGB9686 	3	11
M200	uVSG	-	Haemophilus_sp_HMSC066D02 	2	28
M200	uVSG	-	Neisseria_subflava 	2	109
M200	uVSG	-	Robertkochia_SGB58156 	2	5
M200	uVSG	-	Pasteurella_bettyae 	2	3
M200	uVSG	-	Haemophilus_massiliensis 	2	2
M200	uVSG	-	Pectobacterium_brasiliense 	2	39
M200	uVSG	-	Holdemanella_SGB58127 	1	3
M200	uVSG	-	Haemophilus_SGB81675 	1	1
M200	uVSG	-	Aggregatibacter_aphrophilus 	1	43
M200	uVSG	-	Aggregatibacter_sp_oral_taxon_458 	1	17
M200	uVSG	-	GGB32459_SGB60446 	1	1
M200	uVSG	-	Prevotella_salivae 	1	46
M200	uVSG	-	GGB40650_SGB60447 	1	1
M200	uVSG	-	Phascolarctobacterium_succinatutens 	1	1104
M200	uVSG	-	Neisseria_mucosa 	1	32
M200	uVSG	-	Haemophilus_SGB9718 	1	1
M200	uVSG	-	Haemophilus_SGB9662 	1	5
M200	uVSG	-	Phocaeicola_vulgatus 	1	4172
M200	uVSG	-	GGB33284_SGB60456 	1	1
M200	uVSG	-	Mannheimia_varigena 	1	7
M200	uVSG	-	Aggregatibacter_segnis 	1	21
M200	uVSG	-	Thioalbus_denitrificans 	1	2
M200	uVSG	-	Haemophilus_pittmaniae 	1	10
M201	uVSG	-	Roseburia_hominis 	196	997
M201	uVSG	-	Clostridium_sp_AF34_10BH 	1	2365
M201	uVSG	-	Lachnospiraceae_bacterium 	1	3222
M201	uVSG	-	Roseburia_SGB59777 	1	1
M201	uVSG	-	GGB9634_SGB15095 	1	158
M201	uVSG	-	Intestinimonas_butyriciproducens 	1	41
M201	uVSG	-	Clostridium_sp_OM07_10AC 	1	124
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Klebsiella_pneumoniae 	70	7034
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Salmonella_enterica 	68	8517
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Klebsiella_grimontii 	22	197
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Klebsiella_oxytoca 	15	157
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Klebsiella_aerogenes 	13	266
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Klebsiella_variicola 	5	274
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Raoultella_ornithinolytica 	4	138
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Klebsiella_michiganensis 	4	285
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Citrobacter_rodentium 	2	2
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Klebsiella_quasipneumoniae 	2	516
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Xenorhabdus_doucetiae 	1	1
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Pantoea_sp_1_19 	1	1
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Dickeya_zeae 	1	13
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Klebsiella_indica 	1	2
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Pectobacterium_polaris 	1	15
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Klebsiella_huaxiensis 	1	7
M202	kVSG	NC_0058571_Klebsiella_phage_phiKO2	Raoultella_terrigena 	1	18
M203	uVSG	-	Phascolarctobacterium_faecium 	249	2296
M203	uVSG	-	Acidaminococcaceae_unclassified_SGB5785 	4	575
M203	uVSG	-	GGB3277_SGB4327 	4	1401
M203	uVSG	-	Dialister_hominis 	3	333
M203	uVSG	-	Acidaminococcaceae_bacterium 	2	66
M203	uVSG	-	Megasphaera_sp_BL7 	2	424
M203	uVSG	-	Jonquetella_anthropi 	2	5
M203	uVSG	-	Megamonas_funiformis 	1	671
M203	uVSG	-	GGB4299_SGB5872 	1	2
M203	uVSG	-	Ruminococcaceae_bacterium 	1	5899
M203	uVSG	-	Ruminococcaceae_unclassified_SGB15265 	1	1241
M203	uVSG	-	GGB60156_SGB82081 	1	1
M203	uVSG	-	Roseburia_hominis 	1	997
M203	uVSG	-	Bacilli_unclassified_SGB6571 	1	311
M203	uVSG	-	GGB3185_SGB4208 	1	53
M203	uVSG	-	Phascolarctobacterium_succinatutens 	1	1104
M203	uVSG	-	Dialister_invisus 	1	1495
M203	uVSG	-	GGB3490_SGB4664 	1	71
M204	uVSG	-	GGB3303_SGB4364 	6	285
M204	uVSG	-	Clostridia_bacterium 	5	13613
M204	uVSG	-	Clostridia_unclassified_SGB4367 	2	1787
M204	uVSG	-	Lapidilactobacillus_mulanensis 	1	1
M205	uVSG	-	Blautia_massiliensis 	32	1146
M205	uVSG	-	Blautia_obeum 	17	306
M205	uVSG	-	Lachnospira_eligens 	5	3354
M205	uVSG	-	Holdemanella_SGB47838 	5	39
M205	uVSG	-	Eubacterium_rectale 	4	8042
M205	uVSG	-	Roseburia_faecis 	3	3280
M205	uVSG	-	Anaerobutyricum_hallii 	3	960
M205	uVSG	-	GGB3277_SGB4327 	3	1401
M205	uVSG	-	Blautia_wexlerae 	2	2518
M205	uVSG	-	Roseburia_intestinalis 	2	1217
M205	uVSG	-	Lachnospiraceae_bacterium 	2	3222
M205	uVSG	-	Clostridia_bacterium 	2	13613
M205	uVSG	-	Lachnospira_SGB5077 	2	505
M205	uVSG	-	Clostridiales_bacterium_KLE1615 	2	1220
M205	uVSG	-	Clostridium_sp_AM49_4BH 	1	665
M205	uVSG	-	Ruminococcus_torques 	1	2473
M205	uVSG	-	Blautia_faecis 	1	663
M205	uVSG	-	Firmicutes_bacterium_AF16_15 	1	1338
M205	uVSG	-	Eisenbergiella_tayi 	1	125
M205	uVSG	-	Roseburia_inulinivorans 	1	1121
M205	uVSG	-	Solobacterium_SGB6828 	1	9
M205	uVSG	-	Dorea_formicigenerans 	1	166
M205	uVSG	-	GGB34213_SGB47965 	1	1
M206	uVSG	-	Faecalibacterium_prausnitzii 	492	9456
M206	uVSG	-	Faecalibacterium_SGB15346 	16	700
M206	uVSG	-	Subdoligranulum_sp_APC924_74 	4	4694
M206	uVSG	-	Faecalibacterium_SGB15329 	3	42
M206	uVSG	-	Ruminococcus_bicirculans 	2	3401
M206	uVSG	-	GGB9739_SGB15313 	2	57
M206	uVSG	-	Faecalibacterium_SGB15340 	2	134
M206	uVSG	-	Rhodobacteraceae_unclassified_SGB53604 	1	29
M206	uVSG	-	GGB37726_SGB63289 	1	1
M206	uVSG	-	GGB9512_SGB14909 	1	234
M206	uVSG	-	Gemmiger_SGB15299 	1	326
M206	uVSG	-	GGB38320_SGB69189 	1	1
M206	uVSG	-	GGB9631_SGB15087 	1	206
M206	uVSG	-	Faecalibacterium_SGB15315 	1	306
M206	uVSG	-	Holdemanella_SGB53800 	1	1
M206	uVSG	-	Faecalibacterium_SGB15324 	1	23
M207	uVSG	-	Intestinimonas_butyriciproducens 	10	41
M207	uVSG	-	Subdoligranulum_sp_APC924_74 	1	4694
M207	uVSG	-	Roseburia_inulinivorans 	1	1121
M208	kVSG	NC_0309531_Shigella_phage_SHFML11|NC_0421291_Escherichia_phage_slur03|NC_0310111_Shigella_phage_SHFML26|NC_0419901_Escherichia_phage_ST0|NC_0254371_Shigella_phage_Shf125875|NC_0418641_Escherichia_coli_O157_typing_phage_6|NC_0289271_Escherichia_phage_slur02|NC_0085151_Bacteriophage_RB32|NC_0254491_Escherichia_phage_ECML134|NC_0288941_Enterobacteria_phage_vB_EcoM_VR20|NC_0279791_Enterobacteria_phage_RB68|NC_0419191_UNVERIFIED_Escherichia_phage_CF2|NC_0420781_Shigella_phage_Sf24|NC_0254191_Enterobacteria_phage_RB3|NC_0145951_Shigella_phage_SP18|NC_0241252_Escherichia_phage_e11/2|NC_0258291_Shigella_phage_pSs1|NC_0419361_Escherichia_phage_ECD7|NC_0289251_Enterobacteria_phage_vB_EcoM_VR25|NC_0310471_Escherichia_phage_HY03|NC_0008664_Enterobacteria_phage_T4|NC_0193991_Enterobacteria_phage_vB_EcoM_ACGC40|NC_0274041_Yersinia_phage_PST|NC_0310301_Escherichia_phage_UFVAREG1	GGB3005_SGB3996 	9	125
M208	kVSG	NC_0309531_Shigella_phage_SHFML11|NC_0421291_Escherichia_phage_slur03|NC_0310111_Shigella_phage_SHFML26|NC_0419901_Escherichia_phage_ST0|NC_0254371_Shigella_phage_Shf125875|NC_0418641_Escherichia_coli_O157_typing_phage_6|NC_0289271_Escherichia_phage_slur02|NC_0085151_Bacteriophage_RB32|NC_0254491_Escherichia_phage_ECML134|NC_0288941_Enterobacteria_phage_vB_EcoM_VR20|NC_0279791_Enterobacteria_phage_RB68|NC_0419191_UNVERIFIED_Escherichia_phage_CF2|NC_0420781_Shigella_phage_Sf24|NC_0254191_Enterobacteria_phage_RB3|NC_0145951_Shigella_phage_SP18|NC_0241252_Escherichia_phage_e11/2|NC_0258291_Shigella_phage_pSs1|NC_0419361_Escherichia_phage_ECD7|NC_0289251_Enterobacteria_phage_vB_EcoM_VR25|NC_0310471_Escherichia_phage_HY03|NC_0008664_Enterobacteria_phage_T4|NC_0193991_Enterobacteria_phage_vB_EcoM_ACGC40|NC_0274041_Yersinia_phage_PST|NC_0310301_Escherichia_phage_UFVAREG1	Clostridium_scindens 	3	119
M208	kVSG	NC_0309531_Shigella_phage_SHFML11|NC_0421291_Escherichia_phage_slur03|NC_0310111_Shigella_phage_SHFML26|NC_0419901_Escherichia_phage_ST0|NC_0254371_Shigella_phage_Shf125875|NC_0418641_Escherichia_coli_O157_typing_phage_6|NC_0289271_Escherichia_phage_slur02|NC_0085151_Bacteriophage_RB32|NC_0254491_Escherichia_phage_ECML134|NC_0288941_Enterobacteria_phage_vB_EcoM_VR20|NC_0279791_Enterobacteria_phage_RB68|NC_0419191_UNVERIFIED_Escherichia_phage_CF2|NC_0420781_Shigella_phage_Sf24|NC_0254191_Enterobacteria_phage_RB3|NC_0145951_Shigella_phage_SP18|NC_0241252_Escherichia_phage_e11/2|NC_0258291_Shigella_phage_pSs1|NC_0419361_Escherichia_phage_ECD7|NC_0289251_Enterobacteria_phage_vB_EcoM_VR25|NC_0310471_Escherichia_phage_HY03|NC_0008664_Enterobacteria_phage_T4|NC_0193991_Enterobacteria_phage_vB_EcoM_ACGC40|NC_0274041_Yersinia_phage_PST|NC_0310301_Escherichia_phage_UFVAREG1	Citrobacter_koseri 	3	57
M208	kVSG	NC_0309531_Shigella_phage_SHFML11|NC_0421291_Escherichia_phage_slur03|NC_0310111_Shigella_phage_SHFML26|NC_0419901_Escherichia_phage_ST0|NC_0254371_Shigella_phage_Shf125875|NC_0418641_Escherichia_coli_O157_typing_phage_6|NC_0289271_Escherichia_phage_slur02|NC_0085151_Bacteriophage_RB32|NC_0254491_Escherichia_phage_ECML134|NC_0288941_Enterobacteria_phage_vB_EcoM_VR20|NC_0279791_Enterobacteria_phage_RB68|NC_0419191_UNVERIFIED_Escherichia_phage_CF2|NC_0420781_Shigella_phage_Sf24|NC_0254191_Enterobacteria_phage_RB3|NC_0145951_Shigella_phage_SP18|NC_0241252_Escherichia_phage_e11/2|NC_0258291_Shigella_phage_pSs1|NC_0419361_Escherichia_phage_ECD7|NC_0289251_Enterobacteria_phage_vB_EcoM_VR25|NC_0310471_Escherichia_phage_HY03|NC_0008664_Enterobacteria_phage_T4|NC_0193991_Enterobacteria_phage_vB_EcoM_ACGC40|NC_0274041_Yersinia_phage_PST|NC_0310301_Escherichia_phage_UFVAREG1	GGB9676_SGB15177 	2	14
