"species","core_3of3","core_2of3","group"
"s__Bacteroides_cellulosilyticus",0.230769230769231,0.384615384615385,"all pts w/ 3 samples"
"s__Anaerobutyricum_soehngenii",0.230769230769231,0.538461538461538,"all pts w/ 3 samples"
"s__Desulfovibrio_fairfieldensis",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__GGB51647_SGB4348",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__GGB3304_SGB4367",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__GGB9747_SGB15356",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__Clostridium_sp_AF36_4",0.230769230769231,0.615384615384615,"all pts w/ 3 samples"
"s__Roseburia_faecis",0.230769230769231,0.769230769230769,"all pts w/ 3 samples"
"s__Phocaeicola_massiliensis",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__Bacteroides_clarus",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__GGB9758_SGB15368",0.230769230769231,0.307692307692308,"all pts w/ 3 samples"
"s__GGB9502_SGB14899",0.230769230769231,0.307692307692308,"all pts w/ 3 samples"
"s__Alistipes_communis",0.230769230769231,0.384615384615385,"all pts w/ 3 samples"
"s__Coprobacter_fastidiosus",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__GGB3730_SGB5060",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__Lawsonibacter_SGB15145",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__GGB9760_SGB15373",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__Oscillospiraceae_bacterium",0.230769230769231,0.461538461538462,"all pts w/ 3 samples"
"s__Faecalicatena_fissicatena",0.230769230769231,0.461538461538462,"all pts w/ 3 samples"
"s__GGB3819_SGB5184",0.230769230769231,0.384615384615385,"all pts w/ 3 samples"
"s__GGB9634_SGB15093",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__Clostridium_scindens",0.230769230769231,0.307692307692308,"all pts w/ 3 samples"
"s__Streptococcus_parasanguinis",0.230769230769231,0.384615384615385,"all pts w/ 3 samples"
"s__GGB9534_SGB14937",0.230769230769231,0.384615384615385,"all pts w/ 3 samples"
"s__Phascolarctobacterium_succinatutens",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__Alistipes_shahii",0.230769230769231,0.384615384615385,"all pts w/ 3 samples"
"s__bacterium_210917_DFI_7_65",0.230769230769231,0.384615384615385,"all pts w/ 3 samples"
"s__GGB9524_SGB14924",0.230769230769231,0.384615384615385,"all pts w/ 3 samples"
"s__Holdemania_filiformis",0.230769230769231,0.384615384615385,"all pts w/ 3 samples"
"s__GGB3167_SGB4181",0.230769230769231,0.307692307692308,"all pts w/ 3 samples"
"s__Rikenellaceae_bacterium",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__Alistipes_ihumii",0.230769230769231,0.307692307692308,"all pts w/ 3 samples"
"s__GGB9694_SGB15204",0.230769230769231,0.384615384615385,"all pts w/ 3 samples"
"s__Clostridiaceae_unclassified_SGB15090",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__GGB5980_SGB8599",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__GGB9712_SGB15244",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__Blautia_sp_MCC283",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__GGB4552_SGB6276",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__GGB38744_SGB14842",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__Monoglobus_pectinilyticus",0.153846153846154,0.538461538461538,"all pts w/ 3 samples"
"s__GGB3493_SGB4668",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__Streptococcus_thermophilus",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__Firmicutes_bacterium",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__Escherichia_coli",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB3433_SGB4574",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9480_SGB14874",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__Hydrogenoanaerobacterium_SGB53821",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__Eubacterium_ventriosum",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__Intestinibacter_bartlettii",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__Anaerotignum_faecicola",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__Lachnospiraceae_bacterium_CLA_AA_H244",0.153846153846154,0.461538461538462,"all pts w/ 3 samples"
"s__Segatella_copri",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB1627_SGB2230",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB3278_SGB4328",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__GGB1266_SGB1699",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9715_SGB15260",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9342_SGB14306",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__GGB9715_SGB15267",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB3052_SGB4053",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__Frisingicoccus_SGB4674",0.153846153846154,0.384615384615385,"all pts w/ 3 samples"
"s__GGB9707_SGB15229",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__GGB3653_SGB4964",0.153846153846154,0.615384615384615,"all pts w/ 3 samples"
"s__Candidatus_Borkfalkia_ceftriaxoniphila",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__Coprococcus_eutactus",0.153846153846154,0.384615384615385,"all pts w/ 3 samples"
"s__GGB2970_SGB3952",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__Faecalibacterium_sp_CLA_AA_H233",0.153846153846154,0.461538461538462,"all pts w/ 3 samples"
"s__GGB33469_SGB15237",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__Clostridiaceae_bacterium_Marseille_Q4143",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__Lachnospiraceae_bacterium_AM48_27BH",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__Bifidobacterium_pseudocatenulatum",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__Clostridium_saudiense",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__GGB3433_SGB4573",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__Slackia_isoflavoniconvertens",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__GGB3537_SGB4727",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__Emergencia_timonensis",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__Sellimonas_intestinalis",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9719_SGB15272",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__Clostridium_symbiosum",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__GGB9531_SGB14932",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__Longicatena_caecimuris",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9782_SGB15403",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__Clostridium_leptum",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__Faecalibacillus_faecis",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__Hydrogenoanaerobacterium_saccharovorans",0.153846153846154,0.384615384615385,"all pts w/ 3 samples"
"s__GGB58158_SGB79798",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__GGB33586_SGB53517",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__GGB9176_SGB14114",0.153846153846154,0.307692307692308,"all pts w/ 3 samples"
"s__Ruminococcus_lactaris",0.153846153846154,0.384615384615385,"all pts w/ 3 samples"
"s__Clostridium_sp_AM49_4BH",0.153846153846154,0.384615384615385,"all pts w/ 3 samples"
"s__GGB3478_SGB4643",0.153846153846154,0.384615384615385,"all pts w/ 3 samples"
"s__GGB3057_SGB4059",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__Lachnospiraceae_bacterium_OM04_12BH",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__Sutterella_wadsworthensis",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__Bacteroides_nordii",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB2848_SGB3813",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9730_SGB15291",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__GGB4566_SGB6305",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__GGB36331_SGB15121",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__Prevotella_stercorea",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB4599_SGB6362",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB4571_SGB6317",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9501_SGB14898",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9523_SGB14922",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9198_SGB14137",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB3548_SGB4744",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9509_SGB14906",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB3256_SGB4303",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__GGB9715_SGB15265",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__Alistipes_dispar",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9547_SGB14954",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__GGB13493_SGB15238",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9110_SGB14043",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9635_SGB15103",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9759_SGB15370",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB2998_SGB3988",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9092_SGB14022",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__Eubacterium_sp_AF16_48",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9602_SGB15028",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9063_SGB13982",0.153846153846154,0.153846153846154,"all pts w/ 3 samples"
"s__GGB74511_SGB47635",0.153846153846154,0.230769230769231,"all pts w/ 3 samples"
"s__GGB1495_SGB2071",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__Megasphaera_massiliensis",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__Acidaminococcus_intestini",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__Bifidobacterium_bifidum",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Bilophila_SGB15451",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__Dialister_invisus",0.0769230769230769,0.307692307692308,"all pts w/ 3 samples"
"s__GGB9575_SGB14988",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Clostridia_bacterium_UC5_1_1D1",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__GGB36331_SGB63183",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__Blautia_SGB4793",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__GGB3600_SGB4861",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Phocea_massiliensis",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Pseudoflavonifractor_phocaeensis",0.0769230769230769,0.230769230769231,"all pts w/ 3 samples"
"s__Bacteroides_faecis",0.0769230769230769,0.230769230769231,"all pts w/ 3 samples"
"s__Holdemanella_porci",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Faecalimonas_umbilicata",0.0769230769230769,0.230769230769231,"all pts w/ 3 samples"
"s__Simiaoa_sunii",0.0769230769230769,0.230769230769231,"all pts w/ 3 samples"
"s__GGB3057_SGB71294",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Clostridium_sp_AF20_17LB",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__GGB9614_SGB15049",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__GGB1146_SGB1472",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__GGB781_SGB1024",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__GGB1458_SGB2021",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__GGB3345_SGB4425",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__GGB9634_SGB15101",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Firmicutes_bacterium_AM41_11",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__Clostridiaceae_bacterium_Marseille_Q4149",0.0769230769230769,0.230769230769231,"all pts w/ 3 samples"
"s__Sutterella_sp_AM11_39",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__GGB1116_SGB1430",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__Oscillospiraceae_unclassified_SGB15256",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__Sutterella_SGB9281",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9627_SGB15081",0.0769230769230769,0.230769230769231,"all pts w/ 3 samples"
"s__GGB9775_SGB15395",0.0769230769230769,0.384615384615385,"all pts w/ 3 samples"
"s__GGB9691_SGB15198",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Vescimonas_fastidiosa",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__GGB3619_SGB4894",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__GGB9760_SGB15374",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__GGB3612_SGB4882",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Butyricimonas_faecalis",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__GGB9616_SGB15051",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__GGB9064_SGB13983",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Blautia_luti",0.0769230769230769,0.230769230769231,"all pts w/ 3 samples"
"s__Clostridium_SGB6173",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__GGB3722_SGB5050",0.0769230769230769,0.0769230769230769,"all pts w/ 3 samples"
"s__GGB87445_SGB15180",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
"s__Faecalibacillus_intestinalis",0.0769230769230769,0.384615384615385,"all pts w/ 3 samples"
"s__Intestinimonas_butyriciproducens",0.0769230769230769,0.307692307692308,"all pts w/ 3 samples"
"s__Anaeromassilibacillus_senegalensis",0.0769230769230769,0.307692307692308,"all pts w/ 3 samples"
"s__GGB9563_SGB14975",0.0769230769230769,0.153846153846154,"all pts w/ 3 samples"
